,Brand_Name_n,Year,Kilometers_Driven,Fuel_Type_n,Transmission_n,Owner_Type_n,Mileage,Engine,Power,Seats,Price
28,9,2018,37430,4,1,0,17.5,1199.0,88.7,5.0,9.9
29,27,2007,262000,1,1,1,12.8,2494.0,102.0,7.0,4.0
30,23,2013,62000,1,1,0,19.01,1461.0,108.45,5.0,7.75
31,27,2012,87615,4,1,0,14.53,1798.0,138.1,5.0,6.75
32,16,2013,72000,1,0,2,11.18,2696.0,184.0,7.0,12.5
33,1,2010,35000,1,0,0,12.4,2698.0,179.5,5.0,11.5
34,28,2014,55431,4,1,2,16.09,1598.0,103.5,5.0,6.98
35,17,2009,83816,4,1,2,14.0,1061.0,64.0,5.0,1.85
36,17,2018,50075,1,1,0,24.3,1248.0,88.5,5.0,8.63
37,16,2017,52000,4,1,0,18.15,1198.0,82.0,5.0,4.85
38,18,2013,85000,1,0,0,11.74,2987.0,254.8,5.0,28.0
39,28,2013,62000,1,1,0,22.07,1199.0,73.9,5.0,5.0
40,17,2008,90000,4,1,2,19.7,796.0,46.3,5.0,1.25
41,26,2014,19698,4,1,0,25.4,624.0,37.5,4.0,1.53
42,16,2017,22033,1,1,0,25.32,1198.0,77.0,6.0,5.58
43,10,2014,35487,4,1,0,18.5,1197.0,82.9,5.0,4.74
44,10,2014,46374,4,0,0,14.62,1999.0,149.92,5.0,8.85
45,27,2016,52001,4,0,0,14.28,1798.0,138.03,5.0,10.11
46,10,2008,58005,1,1,2,14.9,1991.0,112.2,5.0,4.25
47,27,2012,70704,4,1,0,11.25,2694.0,163.7,7.0,10.95
48,10,2014,75000,1,1,0,24.4,1120.0,71.0,5.0,3.85
49,16,2012,75800,1,1,2,16.55,2498.0,105.0,6.0,5.5
50,1,2015,13648,1,0,0,17.11,1968.0,174.33,5.0,21.43
51,17,2014,52000,1,1,0,22.9,1248.0,74.0,5.0,4.25
52,17,2014,53000,1,1,0,17.8,1248.0,75.0,5.0,3.3
53,17,2013,65650,1,1,0,28.4,1248.0,74.0,5.0,3.85
54,10,2015,54000,4,1,3,18.9,1197.0,82.0,5.0,3.6
55,28,2015,39000,4,1,0,15.04,1598.0,103.2,5.0,3.99
56,23,2017,16542,4,1,0,25.17,799.0,53.3,5.0,3.3
57,10,2010,32000,4,1,0,20.36,1197.0,78.9,5.0,2.07
58,21,2010,121812,1,0,0,13.29,1995.0,147.6,5.0,7.75
59,17,2010,39300,4,1,0,18.2,998.0,67.1,5.0,2.25
60,27,2017,22000,1,1,0,13.68,2393.0,147.8,8.0,16.5
61,8,2010,72000,1,1,0,20.0,1399.0,68.0,5.0,2.75
62,18,2015,58000,4,0,0,11.74,1796.0,186.0,5.0,26.7
63,18,2011,65000,1,1,2,15.8,2148.0,170.0,5.0,10.0
64,26,2016,178000,1,1,0,25.0,1396.0,69.0,5.0,2.5
65,1,2012,65664,1,0,0,16.55,1968.0,140.0,5.0,13.5
66,9,2007,63000,4,0,2,16.4,1497.0,78.0,5.0,1.85
67,18,2019,15369,1,0,0,17.0,1950.0,194.0,5.0,35.67
68,17,2016,63000,1,1,0,24.52,1248.0,88.5,7.0,8.15
69,10,2018,13000,1,1,0,22.1,1396.0,88.7,5.0,10.5
70,22,2008,73000,4,0,0,8.5,4806.0,500.0,5.0,14.5
71,16,2015,55729,1,1,0,15.1,2179.0,140.0,7.0,9.65
72,10,2012,45178,4,0,0,16.95,1197.0,78.9,5.0,3.48
73,21,2015,56066,1,1,0,19.64,1461.0,108.5,5.0,6.92
74,9,2016,37300,4,0,2,16.5,1198.0,86.8,5.0,6.46
75,1,2014,56000,1,0,2,18.53,1968.0,187.74,5.0,29.5
76,8,2008,111111,1,1,0,17.8,1399.0,17.0,5.0,2.0
77,27,2006,230000,4,1,3,12.4,1998.0,132.0,8.0,4.5
78,27,2012,104000,1,1,0,12.8,2494.0,102.0,7.0,11.75
79,10,2005,87591,4,1,0,17.0,1086.0,17.0,5.0,1.3
80,17,2012,95100,1,1,0,22.9,1248.0,74.0,5.0,3.75
81,26,2017,70000,4,1,0,17.57,1193.0,88.7,5.0,4.5
82,9,2016,54944,4,1,0,18.0,1198.0,86.7,5.0,4.82
83,8,2012,70337,1,1,0,20.0,1399.0,68.0,5.0,2.8
84,17,2013,99638,1,1,0,23.2,1248.0,73.94,5.0,3.11
85,9,2009,52000,4,1,0,17.8,1497.0,117.3,5.0,3.25
86,2,2011,75000,1,0,2,16.73,1995.0,218.0,5.0,13.9
87,10,2009,95980,4,1,0,20.36,1197.0,78.9,5.0,2.25
88,10,2016,16000,4,1,0,18.9,1197.0,82.0,5.0,5.75
89,10,2007,73745,4,1,0,17.0,1086.0,17.0,5.0,2.1
90,9,2016,18949,4,1,0,17.8,1198.0,86.7,5.0,5.0
91,27,2014,107000,1,1,0,13.0,2982.0,168.5,7.0,16.5
92,1,2018,48367,1,0,0,17.68,1968.0,174.33,5.0,39.58
93,8,2013,57000,1,1,0,22.7,1498.0,89.84,5.0,5.5
94,16,2014,58000,1,1,0,15.1,2179.0,140.0,7.0,8.1
95,9,2015,30000,1,1,0,25.8,1498.0,98.6,5.0,3.5
96,28,2013,34212,1,1,0,22.07,1199.0,73.9,5.0,2.79
97,10,2010,70002,1,1,0,16.2,1493.0,110.0,5.0,3.45
98,17,2016,62000,4,1,0,18.9,998.0,67.1,5.0,4.45
99,28,2010,62001,4,1,0,15.26,1598.0,103.5,5.0,2.65
100,10,2011,78958,1,1,2,23.0,1396.0,90.0,5.0,3.8
101,10,2014,30180,4,1,0,18.5,1197.0,82.85,5.0,4.65
102,5,2017,32851,4,1,0,19.83,1198.0,67.0,7.0,3.95
103,1,2010,30000,1,0,0,14.94,2967.0,241.4,5.0,9.8
104,10,2009,66000,4,1,2,17.0,1197.0,80.0,5.0,2.7
105,17,2010,93850,4,1,0,14.0,796.0,35.0,5.0,2.41
106,27,2014,53000,4,1,0,17.71,1197.0,78.9,5.0,3.9
107,12,2011,78000,1,0,2,14.74,2993.0,270.9,5.0,24.0
108,16,2012,65000,1,1,2,16.0,2179.0,140.0,7.0,5.75
109,10,2014,40000,1,0,0,22.32,1582.0,126.32,5.0,5.25
110,27,2017,30000,1,0,0,11.36,2755.0,171.5,7.0,19.25
111,17,2017,38053,4,1,0,15.1,1196.0,73.0,5.0,3.91
112,26,2014,25500,4,1,0,25.4,624.0,37.5,4.0,2.15
113,2,2015,56087,1,0,0,22.69,1995.0,190.0,5.0,20.75
114,9,2010,71088,4,1,0,13.5,1799.0,130.0,5.0,3.35
115,27,2014,55000,1,1,0,12.99,2494.0,100.6,7.0,11.11
116,29,2014,32700,1,0,0,23.3,1984.0,150.0,5.0,20.0
117,21,2016,39882,4,0,0,19.15,1198.0,75.94,5.0,6.55
118,2,2009,128000,4,0,0,10.8,2497.0,215.0,5.0,7.0
119,17,2016,55000,1,1,0,24.3,1248.0,88.5,5.0,7.5
120,10,2005,102000,4,1,2,17.0,1086.0,17.0,5.0,0.85
121,18,2014,53753,1,0,2,15.0,2143.0,107.3,5.0,16.75
122,10,2018,10250,1,1,0,22.0,1582.0,126.2,5.0,10.95
123,17,2011,43874,4,1,0,18.9,998.0,67.1,5.0,2.45
124,26,2017,32684,4,0,0,21.9,624.0,37.48,4.0,3.23
125,16,2014,42000,1,1,0,12.05,2179.0,120.0,8.0,7.75
126,18,2009,28352,4,0,0,11.7,1796.0,178.0,5.0,9.35
127,17,2013,89900,0,1,0,26.6,998.0,58.16,5.0,3.25
128,9,2007,47700,4,1,2,10.8,2354.0,152.0,5.0,5.25
129,28,2015,55000,1,0,0,21.21,1498.0,103.2,5.0,7.25
130,17,2017,44285,4,1,0,20.73,1373.0,91.1,5.0,7.47
131,16,2016,54000,1,0,0,16.0,2179.0,140.0,7.0,13.25
132,17,2016,30232,4,1,0,21.1,1197.0,85.8,5.0,5.81
133,17,2014,88500,4,1,0,24.07,998.0,67.1,5.0,2.6
134,18,2017,13372,4,0,0,19.0,2996.0,362.07,2.0,54.0
135,10,2019,12645,4,0,0,17.0,1591.0,121.3,5.0,11.5
136,17,2010,94385,4,1,2,19.7,796.0,46.3,5.0,1.6
137,2,2015,31821,1,0,0,20.58,1995.0,143.0,5.0,17.22
138,9,2015,12000,4,0,0,19.0,1199.0,88.7,5.0,6.0
139,9,2012,88578,4,1,0,13.5,1799.0,130.0,5.0,3.95
140,18,2014,44965,1,0,0,19.27,2143.0,170.0,5.0,17.95
141,9,2014,45044,1,1,0,25.8,1498.0,98.6,5.0,3.7
142,17,2016,34204,4,1,0,22.0,1197.0,81.8,5.0,5.43
143,10,2008,80759,4,1,3,17.0,1086.0,17.0,5.0,1.67
144,27,2012,91235,1,1,0,11.5,2982.0,171.0,7.0,13.49
145,4,2014,38800,4,1,0,18.6,1199.0,76.8,5.0,2.85
146,24,2013,83000,1,1,0,21.14,1498.0,103.52,5.0,4.75
147,17,2018,41283,4,1,0,20.73,1373.0,91.1,5.0,9.9
148,1,2013,23000,4,0,0,11.05,2894.0,444.0,4.0,37.0
149,2,2014,48000,1,0,0,21.76,1995.0,190.0,5.0,26.5
150,1,2015,48214,1,0,0,17.11,1968.0,174.33,5.0,23.32
151,17,2016,35000,1,1,0,22.9,1248.0,74.0,5.0,6.25
152,18,2010,35277,4,0,0,7.81,5461.0,362.9,5.0,30.0
153,24,2016,54620,1,0,0,21.66,1498.0,103.52,5.0,9.86
154,24,2012,136997,1,0,0,17.2,1968.0,138.1,5.0,8.5
155,10,2019,14322,4,1,0,21.1,814.0,55.2,5.0,4.23
156,28,2012,65634,1,1,0,22.07,1199.0,73.9,5.0,3.5
157,5,2016,6000,4,1,0,20.63,1198.0,67.06,5.0,2.5
158,9,2013,33280,4,1,0,19.4,1198.0,86.8,5.0,2.39
159,18,2013,29000,4,0,0,14.8,1595.0,120.7,5.0,11.25
160,9,2015,42831,1,1,0,26.0,1498.0,98.6,5.0,7.11
161,27,2016,90000,1,1,0,12.99,2494.0,100.6,7.0,10.9
162,17,2017,24005,4,1,0,20.4,1197.0,81.8,5.0,6.2
163,16,2012,32792,1,1,0,15.1,2179.0,140.0,7.0,7.9
164,8,2014,147898,1,1,0,22.7,1498.0,89.84,5.0,4.42
165,27,2012,131765,1,1,0,13.0,2982.0,168.5,7.0,13.5
166,28,2013,65000,1,0,0,21.5,1498.0,108.5,5.0,6.25
167,8,2010,66123,1,1,2,20.0,1399.0,68.0,5.0,2.1
168,2,2015,41000,1,0,0,15.3,2993.0,258.0,5.0,45.0
169,18,2017,23550,1,0,0,19.27,2143.0,167.62,5.0,33.66
170,9,2012,45000,4,1,2,19.4,1198.0,86.8,5.0,3.65
171,10,2013,60000,4,1,0,20.36,1197.0,78.9,5.0,2.75
172,18,2016,44414,1,0,0,17.9,2143.0,170.0,5.0,42.5
173,10,2019,1000,4,1,0,18.9,1197.0,81.86,5.0,6.5
174,1,2012,62500,1,0,2,17.68,1968.0,174.33,5.0,19.0
175,28,2013,21000,4,0,2,14.4,1598.0,103.6,5.0,4.45
176,19,2017,8525,1,0,2,16.6,1998.0,112.0,5.0,23.0
177,10,2014,29000,1,1,0,22.54,1396.0,88.73,5.0,8.35
178,1,2014,40000,1,0,0,17.68,1968.0,174.33,5.0,22.95
179,4,2012,88000,1,1,0,25.44,936.0,57.6,5.0,1.5
180,24,2012,53537,4,0,0,13.7,1798.0,157.75,5.0,6.89
181,8,2006,216000,1,1,2,17.8,1399.0,68.0,5.0,1.45
182,2,2014,51000,1,0,0,22.48,1995.0,190.0,5.0,33.5
183,4,2007,118500,4,1,0,12.9,1598.0,102.5,5.0,1.25
184,28,2012,63000,1,1,0,22.07,1199.0,73.9,5.0,4.2
185,23,2015,25000,1,1,0,19.98,1461.0,108.5,8.0,6.75
186,18,2014,37382,1,0,0,13.0,2143.0,201.1,5.0,32.0
187,17,2017,24773,4,1,0,21.4,1197.0,83.1,5.0,7.5
188,10,2012,62000,1,1,0,22.32,1582.0,126.32,5.0,4.6
189,10,2017,52340,4,1,0,19.81,1086.0,68.05,5.0,4.04
190,16,2016,56739,1,1,0,15.4,1997.0,120.0,7.0,10.31
191,15,2018,36091,1,0,0,12.7,2179.0,187.7,5.0,55.76
192,8,2010,120000,1,1,0,20.0,1399.0,68.0,5.0,2.6
193,17,2016,33000,1,1,0,25.47,1248.0,88.5,7.0,8.5
194,9,2007,60006,4,1,0,17.0,17.0,17.0,5.0,2.95
195,9,2014,52000,1,1,0,25.8,1498.0,98.6,5.0,3.5
196,10,2015,43571,4,1,0,20.36,1197.0,78.9,5.0,3.55
197,9,2013,50000,1,1,0,25.8,1498.0,98.6,5.0,3.25
198,24,2008,113000,1,1,0,17.5,1896.0,106.0,5.0,4.5
199,23,2014,90000,1,1,0,19.87,1461.0,83.8,5.0,5.35
200,16,2017,29000,1,1,2,17.45,1493.0,100.0,7.0,6.5
201,17,2016,20000,1,1,0,24.3,1248.0,88.5,5.0,9.0
202,10,2016,61012,4,1,0,18.6,1197.0,81.83,5.0,6.0
203,24,2009,87459,4,1,0,14.7,1390.0,85.0,5.0,2.75
204,26,2010,70500,4,1,0,15.64,1193.0,64.1,5.0,1.5
205,1,2015,64103,1,0,0,15.73,1968.0,174.33,5.0,19.9
206,24,2014,76000,4,0,0,14.7,1798.0,177.5,5.0,10.0
207,27,2014,104000,1,1,0,23.59,1364.0,67.06,5.0,3.0
208,17,2010,42001,4,1,0,16.1,17.0,17.0,5.0,2.11
209,18,2014,37245,4,0,0,14.8,1595.0,120.7,5.0,11.96
210,9,2013,45000,1,1,0,27.4,1498.0,98.6,5.0,3.25
211,10,2012,117837,1,1,2,22.32,1582.0,126.32,5.0,4.75
212,23,2014,30000,1,1,0,20.46,1461.0,83.8,5.0,5.95
213,10,2015,27057,4,1,2,15.29,1591.0,121.3,5.0,8.15
214,17,2016,8500,4,0,0,20.51,998.0,67.0,5.0,4.22
215,18,2010,30500,4,0,0,11.74,1796.0,186.0,5.0,10.5
216,1,2012,56000,1,0,0,11.8,2967.0,246.7,5.0,45.0
217,10,2012,44000,4,1,2,19.81,1086.0,68.05,5.0,2.9
218,24,2017,10500,4,0,0,14.3,1598.0,103.52,5.0,8.9
219,24,2017,26000,4,0,0,14.67,1798.0,177.46,5.0,26.0
220,10,2018,25166,4,1,0,17.19,1197.0,81.86,5.0,8.22
221,9,2014,64000,1,1,2,25.8,1498.0,98.6,5.0,3.5
222,17,2004,61000,4,1,2,18.9,998.0,67.1,5.0,1.25
223,16,2013,107000,1,1,0,21.03,1461.0,65.0,5.0,3.7
224,18,2018,29161,1,0,0,19.27,2143.0,167.62,5.0,39.41
225,17,2013,32000,4,1,0,22.5,998.0,67.04,5.0,2.65
226,21,2015,46173,1,1,2,19.01,1461.0,108.5,5.0,8.92
227,17,2013,47000,1,1,0,17.8,1248.0,17.0,5.0,4.1
228,19,2017,26327,4,0,0,16.82,1998.0,189.08,4.0,35.67
229,8,2015,70436,1,1,0,17.0,1498.0,99.0,5.0,3.6
230,26,2007,200000,1,1,2,17.2,1396.0,53.5,5.0,0.85
231,4,2016,60813,4,1,2,18.6,1199.0,76.8,5.0,3.32
232,28,2012,45000,1,1,0,22.07,1199.0,73.9,5.0,3.6
233,17,2016,64000,1,1,0,22.9,1248.0,74.0,5.0,6.8
234,8,2012,41284,1,1,0,20.0,1399.0,68.05,5.0,2.5
235,27,2019,14165,1,0,0,11.36,2755.0,171.5,7.0,19.64
236,10,2011,67000,1,0,2,11.72,2199.0,194.3,7.0,7.0
237,9,2011,32572,4,1,0,17.4,1497.0,117.3,5.0,3.87
238,10,2018,14960,4,1,0,18.6,1197.0,81.83,5.0,6.27
239,18,2015,55980,1,0,0,19.27,2143.0,167.62,5.0,18.12
240,4,2013,74000,1,1,0,25.44,936.0,57.6,5.0,2.65
241,10,2015,56847,1,1,0,22.54,1396.0,88.73,5.0,7.2
242,27,2015,121374,1,1,0,12.99,2494.0,100.6,7.0,14.3
243,17,2013,52000,1,1,0,20.77,1248.0,88.76,7.0,6.9
244,27,2014,118000,1,1,0,12.8,2494.0,102.0,7.0,10.75
245,10,2007,72000,4,1,3,17.0,1086.0,17.0,5.0,0.95
246,9,2016,33915,4,1,0,17.8,1497.0,117.3,5.0,8.09
247,2,2014,82002,1,0,0,17.05,1995.0,184.0,5.0,18.5
248,10,2017,33000,1,1,0,24.0,1120.0,70.0,5.0,4.75
249,17,2016,34000,1,1,0,28.09,1248.0,88.5,5.0,8.45
250,24,2012,55000,1,1,0,20.5,1598.0,103.6,5.0,3.5
251,10,2006,160538,1,1,0,13.1,1493.0,82.0,5.0,1.8
252,28,2014,60000,1,1,2,19.91,1498.0,103.6,5.0,3.7
253,9,2017,49575,4,1,0,18.7,1199.0,88.7,5.0,7.17
254,10,2010,83000,4,1,0,19.81,1086.0,68.05,5.0,1.75
255,10,2018,51346,1,0,0,16.38,1995.0,183.0,5.0,21.99
256,27,2017,43000,1,1,0,13.68,2393.0,147.8,7.0,18.65
257,17,2011,35000,4,1,3,19.7,796.0,35.0,5.0,1.85
258,17,2017,27872,4,1,2,20.4,1197.0,81.8,5.0,5.95
259,10,2014,16514,4,1,0,18.9,1197.0,82.0,5.0,3.75
260,17,2012,120000,1,1,0,22.9,1248.0,74.0,5.0,3.75
261,10,2008,143275,1,1,0,22.0,1582.0,126.2,5.0,2.6
262,10,2006,99000,4,1,0,17.0,1086.0,17.0,5.0,1.75
263,10,2010,52000,4,1,0,17.0,1197.0,80.0,5.0,2.8
264,18,2017,29819,1,0,0,11.57,2987.0,254.79,5.0,61.29
265,18,2014,57000,1,1,2,15.8,2148.0,170.0,5.0,18.0
266,17,2014,88500,1,1,0,23.2,1248.0,73.94,5.0,4.35
267,10,2016,28000,1,1,0,19.67,1582.0,126.2,5.0,13.75
268,17,2010,67000,4,1,0,19.0,998.0,66.1,5.0,2.0
269,23,2016,26000,1,1,0,19.64,1461.0,108.45,5.0,10.0
270,6,2010,120000,1,1,0,17.8,1248.0,76.0,5.0,1.65
271,2,2017,51982,1,0,0,16.55,2993.0,258.0,5.0,45.77
272,10,2010,36000,4,1,2,20.36,1197.0,78.9,5.0,3.25
273,27,2016,47000,1,1,0,12.8,2494.0,102.0,7.0,12.8
274,17,2002,60000,4,1,3,17.3,993.0,60.0,5.0,0.55
275,17,2018,31025,1,1,0,28.4,1248.0,74.0,5.0,7.15
276,16,2013,105000,1,1,2,12.05,2179.0,120.0,8.0,7.0
277,26,2017,121900,1,1,0,22.95,1248.0,74.0,5.0,3.75
278,8,2017,22695,4,1,0,18.88,999.0,123.24,5.0,8.5
279,17,2012,73000,1,1,0,23.4,1248.0,74.0,5.0,4.35
280,17,2016,32227,4,1,0,22.74,796.0,47.3,5.0,3.26
281,9,2011,55000,4,1,0,17.0,1497.0,118.0,5.0,4.21
282,1,2018,11287,1,0,0,12.07,2967.0,241.4,7.0,70.36
283,24,2009,48000,1,0,2,17.0,1896.0,105.0,5.0,2.95
284,10,2012,54308,4,1,0,17.1,1591.0,121.3,5.0,4.28
285,9,2009,78442,4,0,0,16.8,1497.0,118.0,5.0,3.57
286,10,2013,46000,1,1,0,21.9,1396.0,88.8,5.0,3.11
287,10,2014,45051,4,0,0,15.0,1396.0,98.6,5.0,5.96
288,28,2011,69000,1,1,0,20.54,1598.0,103.6,5.0,4.7
289,9,2014,49000,4,1,0,17.4,1497.0,117.3,5.0,6.9
290,26,2018,45000,1,1,0,22.95,1248.0,74.0,5.0,5.25
291,2,2015,64000,1,0,0,18.48,1995.0,177.0,5.0,28.0
292,17,2009,60000,4,1,0,18.9,1061.0,67.0,5.0,1.35
293,9,2015,62178,4,1,0,18.2,1199.0,88.7,5.0,4.85
294,28,2012,58006,1,1,0,15.0,1896.0,105.0,5.0,6.7
295,10,2010,74000,4,1,0,20.36,1197.0,78.9,5.0,3.1
296,18,2015,77771,1,0,0,19.27,2143.0,170.0,5.0,18.64
297,10,2012,45275,4,1,0,20.36,1197.0,78.9,5.0,2.8
298,27,2016,48000,1,1,0,13.68,2393.0,147.8,7.0,20.25
299,1,2015,31652,1,0,0,17.68,1968.0,174.33,5.0,26.78
300,27,2010,109000,1,1,2,12.99,2494.0,100.6,7.0,8.26
301,28,2015,31978,4,1,0,16.47,1198.0,73.9,5.0,3.89
302,17,2011,70000,4,1,0,20.92,998.0,67.1,5.0,2.1
303,9,2017,15000,4,0,0,18.0,1497.0,117.3,5.0,12.69
304,26,2013,59138,1,1,0,17.0,1405.0,70.0,5.0,2.58
305,1,2014,61726,1,0,0,17.68,1968.0,174.33,5.0,20.77
306,18,2015,48000,1,0,0,17.9,2143.0,136.0,5.0,20.26
307,10,2006,58000,4,1,2,17.0,1086.0,17.0,5.0,1.5
308,17,2011,60020,1,1,0,17.8,1248.0,17.0,5.0,2.5
309,17,2014,77815,4,0,0,23.1,998.0,67.04,5.0,4.25
310,18,2017,29000,1,0,0,17.9,2143.0,201.15,5.0,57.0
311,15,2017,44000,1,0,0,12.7,2179.0,187.7,5.0,44.0
312,28,2011,108626,1,1,0,20.54,1598.0,103.6,5.0,3.65
313,17,2012,71791,4,1,0,14.0,796.0,35.0,5.0,2.05
314,9,2012,91931,4,1,0,18.5,1198.0,86.8,5.0,3.13
315,26,2000,158000,1,1,2,14.07,2956.0,83.1,7.0,1.5
316,26,2012,91183,1,1,0,18.0,1248.0,75.0,5.0,2.85
317,17,2012,65000,4,1,0,18.9,998.0,67.1,5.0,2.65
318,16,2015,88428,1,1,0,16.0,2179.0,140.0,7.0,10.6
319,26,2008,138000,1,1,2,17.1,1396.0,70.0,5.0,1.25
320,17,2018,18000,4,1,0,16.02,1373.0,93.7,7.0,8.25
321,9,2011,60000,4,0,0,11.7,2354.0,177.6,5.0,4.45
322,17,2012,48000,1,1,0,19.3,1248.0,73.9,5.0,3.7
323,8,2009,160000,1,1,0,17.8,1399.0,68.0,5.0,2.8
324,9,2008,40000,4,1,0,17.7,1497.0,78.0,5.0,1.8
325,1,2014,51495,1,0,0,17.68,1968.0,174.33,5.0,21.95
326,2,2011,30000,1,0,0,9.52,2993.0,313.0,4.0,49.0
327,1,2017,97430,1,0,0,14.75,2967.0,245.0,7.0,62.67
328,17,2008,42496,0,1,0,26.3,998.0,67.1,5.0,1.4
329,10,2012,83000,1,1,0,23.0,1396.0,90.0,5.0,5.5
330,10,2009,37000,4,0,3,16.95,1197.0,78.9,5.0,2.95
331,9,2016,28503,4,0,0,19.0,1199.0,88.7,5.0,6.86
332,17,2015,76496,1,1,0,25.2,1248.0,74.0,5.0,6.15
333,10,2011,79152,4,1,2,18.5,1197.0,82.85,5.0,3.3
334,28,2011,32000,4,1,0,16.47,1198.0,73.9,5.0,2.55
335,17,2009,35000,4,1,0,19.7,796.0,46.3,5.0,1.5
336,27,2004,105000,4,0,2,11.3,1794.0,125.0,5.0,2.5
337,17,2006,56000,4,1,2,19.7,796.0,46.3,5.0,1.4
338,26,2012,73000,1,1,0,21.12,1248.0,88.8,5.0,3.4
339,17,2012,38000,4,1,0,19.7,796.0,46.3,5.0,2.25
340,24,2013,775000,1,0,0,19.3,1968.0,141.0,5.0,7.5
341,27,2008,80000,4,0,0,11.3,1794.0,125.0,5.0,2.8
342,10,2016,24973,4,1,0,18.6,1197.0,81.83,5.0,7.66
343,17,2016,45000,1,1,0,24.3,1248.0,88.5,5.0,7.15
344,9,2010,87430,4,1,0,17.0,1497.0,118.0,5.0,3.5
345,26,2014,133944,1,1,2,18.0,1248.0,75.0,5.0,3.5
346,9,2013,57000,1,1,0,25.8,1498.0,98.6,5.0,3.45
347,10,2016,27904,4,1,0,21.1,814.0,55.2,5.0,3.55
348,2,2015,30717,1,0,2,21.76,1995.0,190.0,5.0,25.99
349,10,2012,80000,1,1,0,22.32,1582.0,126.32,5.0,5.25
350,26,2013,47304,1,1,0,21.02,1248.0,88.8,5.0,2.9
351,24,2005,100000,4,0,0,14.45,1984.0,227.0,5.0,2.05
352,17,2017,30000,4,1,0,24.07,998.0,67.1,5.0,3.75
353,8,2014,68000,1,1,0,22.7,1498.0,89.84,5.0,6.75
354,4,2011,21000,4,1,2,18.0,995.0,62.0,5.0,0.95
355,12,2017,21000,1,0,0,19.33,1999.0,177.0,5.0,52.0
356,9,2007,119000,4,1,3,13.1,1997.0,141.1,5.0,3.91
357,24,2019,13747,4,0,0,14.67,1798.0,177.46,5.0,27.3
358,10,2009,620000,4,1,0,20.36,1197.0,78.9,5.0,2.7
359,17,2013,70000,1,1,0,22.9,1248.0,74.0,5.0,3.5
360,17,2016,18000,4,0,0,18.5,1197.0,83.14,5.0,6.2
361,21,2011,83000,1,1,0,23.08,1461.0,63.1,5.0,2.75
362,17,2015,130000,1,1,0,23.4,1248.0,74.0,5.0,3.25
363,8,2012,63400,1,1,0,17.8,1399.0,67.0,5.0,3.25
364,17,2003,65000,4,1,0,17.3,993.0,60.0,5.0,0.65
365,19,2017,8350,4,1,0,13.8,1998.0,192.0,5.0,35.0
366,27,2014,45000,1,1,0,23.59,1364.0,67.05,5.0,3.25
367,17,2018,26200,4,1,0,24.7,796.0,47.3,5.0,2.9
368,17,2011,11000,4,1,3,18.9,796.0,47.0,5.0,2.9
369,2,2009,90000,1,0,2,11.0,2993.0,235.0,5.0,17.75
370,21,2015,74000,4,0,2,11.07,2496.0,179.5,5.0,8.25
371,10,2015,37081,4,0,0,18.9,1197.0,82.0,5.0,5.77
372,17,2017,39000,1,1,0,24.3,1248.0,88.5,5.0,9.49
373,1,2008,99000,1,0,3,12.07,2967.0,241.4,7.0,12.95
374,18,2015,38000,1,0,0,17.9,2143.0,136.0,5.0,20.0
